title,url,time_added,tags,status
The Enduring Art of Computer Programming,http://www.codinghorror.com/blog/archives/001034.html,1637050429,coding horror,unread
The Danger of Naïveté,http://www.codinghorror.com/blog/archives/001015.html,1637050423,coding horror,unread
Physics Based Games,http://www.codinghorror.com/blog/archives/001135.html,1637050477,coding horror,unread
"Building a PC, Part V: Upgrading",http://www.codinghorror.com/blog/archives/001102.html,1637050450,coding horror,unread
"PHP Sucks, But It Doesn't Matter",http://www.codinghorror.com/blog/archives/001119.html,1637050463,coding horror,unread
A Question of Programming Ethics,http://www.codinghorror.com/blog/archives/001072.html,1637050438,coding horror,unread
Paul Graham's Participatory Narcissism,http://www.codinghorror.com/blog/archives/001080.html,1637050441,coding horror,unread
How to Start a Startup,http://www.paulgraham.com/start.html,1630301339,business,unread
Behance :: Best of Behance,https://www.behance.net/,1552028547,inbox,unread
Rubular: a Ruby regular expression editor,https://rubular.com/,1552193904,coding|regex,unread
